Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_2_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
289,289,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
290,290,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
291,291,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
292,292,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
293,293,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
294,294,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
295,295,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
296,296,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
297,297,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
298,298,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
299,299,0,3ac071f6,9c4a,a299,000,00,11,0,0,0,0
300,300,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
301,301,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
302,302,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
303,303,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
304,304,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
305,305,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
306,306,0,3ac0727d,9c4a,a299,000,00,11,0,0,0,0
307,307,0,3ac0727d,9c4a,0eae,000,00,11,0,0,0,0
308,308,0,3ac07339,9c4a,2738,000,00,11,0,0,0,0
309,309,0,3ac07339,9c4a,9f8c,000,00,11,0,0,0,0
310,310,0,3ac07339,9c4a,1e1e,000,00,11,0,0,0,0
311,311,0,3ac07339,9c4a,1e1e,000,00,11,0,0,0,0
312,312,0,3ac07339,9c4a,1e1e,000,00,11,0,0,0,0
